Material,SMILES,Type,PL
BTD24,C12=NSN=C1C(C3=CC4=C(C=C3)N(C5=CC=CC=C5)C6=C4C=CC=C6)=CC=C2C7=CC8=C(C=C7)N(C9=CC=CC=C9)C%10=C8C=CC=C%10,BTD,575
BTD25,C12=NSN=C1C(C3=CC=CS3)=CC=C2C4=CC=CS4,BTD,565
BTD26,COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)S6)C%10=NSN=C%105)S4,BTD,710
BTD27,C12=NSN=C1C(C3=CC=CC=C3)=CC=C2C4=CC=CC=C4,BTD,488
BTD28,C12=NSN=C1C(C3=CC=CC=C3)=CC=C2C4=CC=CC=C4,BTD,487
BTD29,C12=NSN=C1C(/C=C/C3=CC=CC=C3)=CC=C2/C=C/C4=CC=CC=C4,BTD,560
BTD30,C12=NSN=C1C(C3=C(C=CC=C4)C4=CC=C3)=CC=C2C5=CC=CC6=C5C=CC=C6,BTD,517
BTD31,C12=NSN=C1C(C3=C(C=CC=C4)C4=CC=C3)=CC=C2C5=CC=CC6=C5C=CC=C6,BTD,504
BTD32,COC(C=C1)=CC=C1C2=CC=C(C3=CC=C(OC)C=C3)C4=NSN=C42,BTD,547
BTD33,C12=NSN=C1C(C#CC3=CC=CC=C3)=CC=C2C#CC4=CC=CC=C4,BTD,497
BTD34,C12=NSN=C1C(C#CC3=CC=CC4=C3C=CC=C4)=CC=C2C#CC5=C(C=CC=C6)C6=CC=C5,BTD,434
BTD35,COC(C=C1)=CC=C1C#CC2=CC=C(C#CC3=CC=C(OC)C=C3)C4=NSN=C42,BTD,542
BTD36,CN(C)C(C=C1)=CC=C1C#CC2=CC=C(C#CC3=CC=C(N(C)C)C=C3)C4=NSN=C42,BTD,438
BTD37,C12=NSN=C1C(C3=CC=C(/C=C/C4=CC=CC=C4)C=C3)=CC=C2C5=CC=C(/C=C/C6=CC=CC=C6)C=C5,BTD,555
BTD38,C12=NSN=C1C(C3=CC=C(/C=C/C=C/C4=CC=CC=C4)C=C3)=CC=C2C5=CC=C(/C=C/C=C/C6=CC=CC=C6)C=C5,BTD,577
BTD39,C12=NSN=C1C(C3=CC=C(C4=CC=CC=C4)S3)=CC=C2C5=CC=C(C6=CC=CC=C6)S5,BTD,624
BTD40,C12=NSN=C1C(C3=CC=C(/C=C/C4=CC=CC=C4)S3)=CC=C2C5=CC=C(/C=C/C6=CC=CC=C6)S5,BTD,647
BTD41,C12=NSN=C1C(C3=CC=C(/C=C/C=C/C4=CC=CC=C4)S3)=CC=C2C5=CC=C(/C=C/C=C/C6=CC=CC=C6)S5,BTD,666
BTD42,FC(C=C1)=CC=C1C2=CC=C(C3=CC=C(F)C=C3)C4=NSN=C42,BTD,495
BTD43,ClC(C=C1)=CC=C1C2=CC=C(C3=CC=C(Cl)C=C3)C4=NSN=C42,BTD,490
BTD44,BrC(C=C1)=CC=C1C2=CC=C(C3=CC=C(Br)C=C3)C4=NSN=C42,BTD,492
BTD45,IC(C=C1)=CC=C1C2=CC=C(C3=CC=C(I)C=C3)C4=NSN=C42,BTD,475
BTD46,C12=NSN=C1C(C3=CC=C(C4=CC=CS4)C=C3)=CC=C2C5=CC=C(C6=CC=CS6)C=C5,BTD,525
BTD47,C12=NSN=C1C(C3=CC=C(C4=CC=CS4)S3)=CC=C2C5=CC=C(C6=CC=CS6)S5,BTD,611
BTD48,C12=NSN=C1C(C3=CC4=C(C=CC=C4)S3)=CC=C2C5=CC(C=CC=C6)=C6S5,BTD,548
BTD49,C12=NSN=C1C(C3=CC=NC=C3)=CC=C2C4=CC=NC=C4,BTD,437
BTD50,C12=NSN=C1C(C3=CC=CC=C3C4=CC=CC=C4)=CC=C2C5=CC=CC=C5C6=CC=CC=C6,BTD,486
BTD51,C12=NSN=C1C(C3=CC=CC(C4=CC=CC=C4)=C3)=CC=C2C5=CC=CC(C6=CC=CC=C6)=C5,BTD,479
BTD52,C12=NSN=C1C(C3=CC=C(C4=CC=CC=C4)C=C3)=CC=C2C5=CC=C(C6=CC=CC=C6)C=C5,BTD,502
BTD53,C12=NSN=C1C(C3=CC=C(C=CC=C4)C4=C3)=CC=C2C5=CC=C(C=CC=C6)C6=C5,BTD,509
BTD54,CC(C=C1)=CC=C1C2=CC=C(C3=CC=C(C)C=C3)C4=NSN=C42,BTD,499
BTD55,OC(C=C1)=CC=C1C2=CC=C(C3=CC=C(O)C=C3)C4=NSN=C42,BTD,524
BTD56,COC(C=C1)=CC=C1C2=CC=C(C3=CC=C(OC)C=C3)C4=NSN=C42,BTD,525
BTD57,N#CC(C=C1)=CC=C1C2=CC=C(C3=CC=C(C#N)C=C3)C4=NSN=C42,BTD,457
BTD58,FC(C(C=C1)=CC=C1C2=CC=C(C3=CC=C(C(F)(F)F)C=C3)C4=NSN=C42)(F)F,BTD,459
BTD59,O=[N+](C(C=C1)=CC=C1C2=CC=C(C3=CC=C([N+]([O-])=O)C=C3)C4=NSN=C42)[O-],BTD,455
BTD60,CC(C=C1)=CC=C1/C=C/C2=CC=C(/C=C/C3=CC=C(C)C=C3)C4=NSN=C42,BTD,578
BTD61,COC(C=C1)=CC=C1/C=C/C2=CC=C(/C=C/C3=CC=C(OC)C=C3)C4=NSN=C42,BTD,602
BTD62,CC(C=C(C)C=C1C)=C1B(C2=C(C)C=C(C)C=C2C)C(C=C3)=CC=C3C4=CC=C(C5=CC=C(B(C6=C(C)C=C(C)C=C6C)C7=C(C)C=C(C)C=C7C)C=C5)C8=NSN=C84,BTD,477
BTD63,C[Si](C)(C)C(C=C1)=CC=C1C(C=C2)=CC=C2C3=CC=C(C4=CC=C(C5=CC=C([Si](C)(C)C)C=C5)C=C4)C6=NSN=C63,BTD,516
BTD64,C[Si](C)(C)C(S1)=CC=C1C(C=C2)=CC=C2C3=CC=C(C4=CC=C(C5=CC=C([Si](C)(C)C)S5)C=C4)C6=NSN=C63,BTD,540
BTD65,C[Si](C)(C)C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C([Si](C)(C)C)C=C5)S4)C6=NSN=C63)S2)C=C1,BTD,620
BTD66,C[Si](C)(C)C(S1)=CC=C1C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C([Si](C)(C)C)S5)S4)C6=NSN=C63)S2,BTD,656
BTD67,CN(C)C(C=C1)=CC=C1C2=CC=C(C3=CC=C(N(C)C)C=C3)C4=NSN=C42,BTD,624
BTD68,CN(C)C(C=C1)=CC=C1C2=CC=C(C3=CC=C(N(C)C)C=C3)C4=NSN=C42,BTD,680
BTD69,C12=NSN=C1C(C3=CC=C(C(C4=CC=CC=C4)C5=C(C=CC=C6)C6=CC=C5)C=C3)=CC=C2C7=CC=C(C(C8=CC=CC9=C8C=CC=C9)C%10=CC=CC=C%10)C=C7,BTD,588
BTD70,C12=NSN=C1C(C3=CC=C(C(C4=CC=CC=C4)C5=C(C=CC=C6)C6=CC=C5)C=C3)=CC=C2C7=CC=C(C(C8=CC=CC9=C8C=CC=C9)C%10=CC=CC=C%10)C=C7,BTD,634
BTD71,C12=NSN=C1C(C3=CC=C(N(C4=CC=CC=C4)C5=CC(C=CC=C6)=C6C=C5)C=C3)=CC=C2C7=CC=C(N(C8=CC=C(C=CC=C9)C9=C8)C%10=CC=CC=C%10)C=C7,BTD,591
BTD72,C12=NSN=C1C(C3=CC=C(N(C4=CC=CC=C4)C5=CC(C=CC=C6)=C6C=C5)C=C3)=CC=C2C7=CC=C(N(C8=CC=C(C=CC=C9)C9=C8)C%10=CC=CC=C%10)C=C7,BTD,646
BTD73,C12=NSN=C1C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)=CC=C2C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)C=C7,BTD,550
BTD74,C12=NSN=C1C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C=C3)=CC=C2C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)C=C7,BTD,657
BTD75,C12=NSN=C1C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)S3)=CC=C2C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)S7,BTD,661
BTD76,C12=NSN=C1C(C3=CC=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)S3)=CC=C2C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)S7,BTD,689
BTD77,C12=NSN=C1C(/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6,BTD,661
BTD78,C12=NSN=C1C(/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6,BTD,689
BTD79,C12=NSN=C1C(C#CC3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2C#CC6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6,BTD,568
BTD80,C12=NSN=C1C(C#CC3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2C#CC6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6,BTD,663
BTD81,C12=NSN=C1C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)C=C3)=CC=C2C7=CC=C(/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10)C=C7,BTD,538
BTD82,C12=NSN=C1C(C3=CC=C(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4)S3)=CC=C2C8=CC=C(S8)C(C=C9)=CC=C9/C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)\C%12=CC=CC=C%12,BTD,623
BODIPY1,F[B-]([N+]1=C(C)C(C2=CC=C(CCCCCC)S2)=C(C)C1=C3C)(F)N4C3=C(C)C(C5=CC=C(CCCCCC)S5)=C4C,BODIPY,605
BODIPY2,F[B-]([N+]1=C(C)C(CC)=C(C)C1=C2C3=CC=CC=C3)(F)N4C2=C(C)C(CC)=C4C,BODIPY,534
BODIPY3,F[B-]([N+]1=C(C)C(CC)=C(C)C1=C2C3=C(C=CC=C4)C4=CC=C3)(F)N5C2=C(C)C(CC)=C5C,BODIPY,544
BODIPY4,F[B-](F)(N1C2=C(C(CC)=C1C)C)[N+]3=C(C(CC)=C(C3=C2C4=C5C=CC=CC5=CC6=C4C=CC=C6)C)C,BODIPY,543
BODIPY5,F[B-]([N+]1=C(C)C(CC)=C(C)C1=C2C3=C(C=CC4=C5C(C=C6)=CC=C4)C5=C6C=C3)(F)N7C2=C(C)C(CC)=C7C,BODIPY,543
BODIPY6,F[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC(C4=CC=C(C(C)(C)C)C=C4)=CC(C5=CC=C(C(C)(C)C)C=C5)=C3)(F)N6C2=C(C)C=C6C,BODIPY,502
BODIPY7,F[B-]([N+]1=C(C)C(C2=CC=CC=C2)=C(C)C1=C3CC4=CC=CC=C4)(F)N5C3=C(C)C(C6=CC=CC=C6)=C5C,BODIPY,558
BODIPY8,F[B-]([N+]1=C(C)C(C2=CC=CC=C2)=C(C)C1=C3CC4=C(F)C=C(F)C=C4F)(F)N5C3=C(C)C(C6=CC=CC=C6)=C5C,BODIPY,519
BODIPY9,F[B-]([N+]1=C(C)C(C2=CC=C(C#N)C=C2)=C(C)C1=C3CC4=CC=CC=C4)(F)N5C3=C(C)C(C6=CC=C(C#N)C=C6)=C5C,BODIPY,555
BODIPY10,F[B-]([N+]1=C(C)C=C(C)C1=C2CC3=CC=CC=C3)(F)N4C2=C(C)C=C4C,BODIPY,515
BODIPY11,F[B-]([N+]1=C(C)C(C#CC2=CC=CC=C2)=C(C)C1=C3C4=CC=CC=C4)(F)N5C3=C(C)C(C#CC6=CC=CC=C6)=C5C,BODIPY,594
BODIPY12,F[B-]([N+]1=C(C)C(C#CC2=CC(C(C=CC=C3)=C3N4CC)=C4C=C2)=C(C)C1=C5C6=CC=CC=C6)(F)N7C5=C(C)C(C#CC8=CC=C(N(CC)C9=C%10C=CC=C9)C%10=C8)=C7C,BODIPY,653
BODIPY13,F[B-]([N+]1=C(C)C(C#CC2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C6=CC=CC=C6)(F)N7C5=C(C)C(C#CC8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=C7C,BODIPY,659
BODIPY14,F[B-]([N+]1=C(C)C(C2=CC=CS2)=C(C)C1=C3C4=CC=CC=C4)(F)N5C3=C(C)C(C6=CC=CS6)=C5C,BODIPY,609
BODIPY15,F[B-]([N+]1=C(C)C(C2=CC=CC=C2)=C(C)C1=C3C4=CC=CC=C4)(F)N5C3=C(C)C(C6=CC=CC=C6)=C5C,BODIPY,556
BODIPY16,F[B-]([N+]1=C(C2=CC=CC=C2)C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C1=C5C6=CC=CC=C6)(F)N7C5=C(C8=CC=CC=C8)C(C9=CC=CC=C9)=C7C%10=CC=CC=C%10,BODIPY,604
BODIPY17,F[B-]([N+]1=C(C)C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C)(F)N6C5=C(C)C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)=C6C,BODIPY,626
BODIPY18,F[B-]([N+]1=C(C)C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)(F)N9C5=C(C)C(C%10=CC=C(N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C%10)=C9C,BODIPY,633
BODIPY19,F[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)(F)N6C2=C(C)C=C6C,BODIPY,520
BODIPY20,F[B-]([N+]1=C(C)C(C2=CC=C(N3C4=CC=CC=C4C5=C3C=CC=C5)C=C2)=C(C)C1=C6C7=CC=CC=C7)(F)N8C6=C(C)C(C9=CC=C(N(C%10=CC=CC=C%10%11)C%12=C%11C=CC=C%12)C=C9)=C8C,BODIPY,570
BODIPY21,F[B-]([N+]1=C(C)C(C2=CC=C(N3C4=CC=CC=C4C5=C3C=CC=C5)C=C2)=C(C)C1=C6C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)(F)N%10C6=C(C)C(C%11=CC=C(N(C%12=CC=CC=C%12%13)C%14=C%13C=CC=C%14)C=C%11)=C%10C,BODIPY,571
BODIPY22,F[B-]([N+]1=C(C)C(C2=CC=C(N3C4=CC=CC=C4SC5=C3C=CC=C5)C=C2)=C(C)C1=C6C)(F)N7C6=C(C)C(C8=CC=C(N(C9=CC=CC=C9S%10)C%11=C%10C=CC=C%11)C=C8)=C7C,BODIPY,620
BODIPY23,F[B-]([N+]1=C(C)C(C2=CC(C=C(C)C=C3)=C3S2)=C(C)C1=C4C5=CC=C(C)C=C5)(F)N6C4=C(C)C(C7=CC8=C(C=CC(C)=C8)S7)=C6C,BODIPY,538
BODIPY24,F[BH-]([N+]1=C(C)C(C2=CC(C=C(C)C=C3)=C3S2)=C(C)C1=C4C5=CC=CC=C5)N6C4=C(C)C(C7=CC8=C(C=CC(C)=C8)S7)=C6C,BODIPY,539
BODIPY25,F[B-]([N+]1=C(C)C(C2=CC=C(C)C=C2)=C(C)C1=C3C)(F)N4C3=C(C)C(C5=CC=C(C)C=C5)=C4C,BODIPY,526
BODIPY26,F[B-]([N+]1=C(C)C(C2=C(C)C=C(C)C=C2C)=C(C)C1=C3C4=CC=CC=C4)(F)N5C3=C(C)C(C6=C(C)C=C(C)C=C6C)=C5C,BODIPY,534
BODIPY27,F[B-]([N+]1=C(C)C(C2=CC=C(OC)C=C2)=C(C)C1=C3C)(F)N4C3=C(C)C(C5=CC=C(OC)C=C5)=C4C,BODIPY,551
BODIPY28,F[B-]([N+]1=C(C2=CC=CC=C2)C=C(C3=CC=C(C(C)(C)C)C=C3)C1=C4C)(F)N5C4=C(C6=CC=C(C(C)(C)C)C=C6)C=C5C7=CC=CC=C7,BODIPY,607
BODIPY29,F[B-]([N+]1=C(C2=CC=C(C(C)(C)C)C=C2)C=C(C3=CC=CC=C3)C1=C4C5=C(OC)C=CC=C5)(F)N6C4=C(C7=CC=CC=C7)C=C6C8=CC=C(C(C)(C)C)C=C8,BODIPY,615
BODIPY30,F[B-]([N+]1=C(C2=CC=C(C(C)(C)C)C=C2)C=C(C3=CC(C=CC=C4)=C4C=C3)C1=C5C6=C(OC)C=CC=C6)(F)N7C5=C(C8=CC=C(C=CC=C9)C9=C8)C=C7C%10=CC=C(C(C)(C)C)C=C%10,BODIPY,624
BODIPY31,F[B-]([N+]1=C(C)C(CC)=C(C)C1=C2C3=CC=C(C#CC(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6)C=C3)(F)N7C2=C(C)C(CC)=C7C,BODIPY,552
BODIPY32,F[B-]([N+]1=C(C)C(CC)=C(C)C1=C2C3=CC=C(C#CC(C=C4)=CC=C4N5C6=CC=CC=C6C7=C5C=CC=C7)C=C3)(F)N8C2=C(C)C(CC)=C8C,BODIPY,551
BODIPY33,F[B-]([N+]1=C(C)C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C6=CC=CC=C6)(F)N7C5=C(C)C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=C7C,BODIPY,630
BODIPY34,F[B-]([N+]1=C(C)C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C6=CC=C(C(F)(F)F)C=C6)(F)N7C5=C(C)C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=C7C,BODIPY,651
BODIPY35,F[B-]([N+]1=C(C)C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C6=CC(F)=CC(F)=C6)(F)N7C5=C(C)C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=C7C,BODIPY,679
BODIPY36,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C(OCC)=O)C(/C=C/C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)=[O+]1,BODIPY,704
BODIPY37,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=C([2H])C([2H])=C([2H])C([2H])=C3[2H])C4=C([2H])C([2H])=C([2H])C([2H])=C4[2H])C=C2)=C(C(OCC)=O)C(/C=C/C5=CC=C(N(C6=C([2H])C([2H])=C([2H])C([2H])=C6[2H])C7=C([2H])C([2H])=C([2H])C([2H])=C7[2H])C=C5)=[O+]1,BODIPY,704
BODIPY38,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C(OC)C=C4)C=C3)C5=CC=C(C6=CC=C(OC)C=C6)C=C5)C=C2)=C(C(OCC)=O)C(/C=C/C7=CC=C(N(C8=CC=C(C9=CC=C(OC)C=C9)C=C8)C%10=CC=C(C%11=CC=C(OC)C=C%11)C=C%10)C=C7)=[O+]1,BODIPY,746
BODIPY39,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C(C#N)C=C4)C=C3)C5=CC=C(C6=CC=C(C#N)C=C6)C=C5)C=C2)=C(C(OCC)=O)C(/C=C/C7=CC=C(N(C8=CC=C(C9=CC=C(C#N)C=C9)C=C8)C%10=CC=C(C%11=CC=C(C#N)C=C%11)C=C%10)C=C7)=[O+]1,BODIPY,711
BODIPY40,O=C(OCC)C1=C(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)O[B-](C5=CC=CC=C5)(C6=CC=CC=C6)[O+]=C1/C=C/C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7,BODIPY,664
BODIPY41,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC(C=CC=C4)=C4C=C3)C5=CC=C(C=CC=C6)C6=C5)C=C2)=C(C(OCC)=O)C(/C=C/C7=CC=C(N(C8=CC=C(C=CC=C9)C9=C8)C%10=CC(C=CC=C%11)=C%11C=C%10)C=C7)=[O+]1,BODIPY,720
BODIPY42,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C)C=C3)C4=CC=C(C)C=C4)C=C2)=C(C(OCC)=O)C(/C=C/C5=CC=C(N(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)C=C5)=[O+]1,BODIPY,731
